ID,NOMBRE_JUGADOR,POS,EQUIPO,LINK_JUGADOR,MINUTOS,GOLES,GOLES/90 HIST,MINUTOS ULT 3,GOLES ULT 3,GOLES/90 ULT 3,MINUTOS 2025,GOLES 2025,GOLES/90 2025
814970,Enzo Roldán,VOL,Platense,https://www.transfermarkt.es/enzo-roldan/profil/spieler/814970,6459,3,0.04,5247,3,0.05,31,0,0.0
655678,Franco Baldassarra,VOL,Platense,https://www.transfermarkt.es/franco-baldassarra/profil/spieler/655678,6513,6,0.08,3525,3,0.08,11,0,0.0
995585,Santiago Toloza,VOL,Platense,https://www.transfermarkt.es/santiago-toloza/profil/spieler/995585,3211,6,0.17,3211,6,0.17,36,0,0.0
906748,Vicente Taborda,VOL,Platense,https://www.transfermarkt.es/vicente-taborda/profil/spieler/906748,5307,9,0.15,5118,9,0.16,778,4,0.46
909349,Franco Zapiola,VOL,Platense,https://www.transfermarkt.es/franco-zapiola/profil/spieler/909349,4313,7,0.15,3853,7,0.16,537,0,0.0
1268653,Franco Minerva,VOL,Platense,https://www.transfermarkt.es/franco-minerva/profil/spieler/1268653,1575,4,0.23,1575,4,0.23,89,0,0.0
909735,Rodrigo Márquez,DEL,Platense,https://www.transfermarkt.es/rodrigo-marquez/profil/spieler/909735,1803,3,0.15,1493,2,0.12,41,0,0.0
840760,Ignacio Schor,VOL,Platense,https://www.transfermarkt.es/ignacio-schor/profil/spieler/840760,4914,4,0.07,4120,2,0.04,240,0,0.0
441270,Guido Mainero,VOL,Platense,https://www.transfermarkt.es/guido-mainero/profil/spieler/441270,10986,16,0.13,5319,9,0.15,781,1,0.12
406296,Augusto Lotti,DEL,Platense,https://www.transfermarkt.es/augusto-lotti/profil/spieler/406296,12114,40,0.3,5626,14,0.22,498,1,0.18
567736,Ronaldo Martínez,DEL,Platense,https://www.transfermarkt.es/ronaldo-martinez/profil/spieler/567736,8388,34,0.36,7383,25,0.3,287,0,0.0
623947,Maximiliano Rodríguez,DEL,Platense,https://www.transfermarkt.es/maximiliano-rodriguez/profil/spieler/623947,7516,19,0.23,5806,15,0.23,202,0,0.0
1029814,Tobías Cervera,DEL,Platense,https://www.transfermarkt.es/tobias-cervera/profil/spieler/1029814,3620,13,0.32,3620,13,0.32,22,0,0.0
289149,Nicolás Orsini,DEL,Platense,https://www.transfermarkt.es/nicolas-orsini/profil/spieler/289149,13663,47,0.31,3476,8,0.21,6,0,0.0
1029760,Juan Pablo Goicochea,DEL,Platense,https://www.transfermarkt.es/juan-pablo-goicochea/profil/spieler/1029760,877,1,0.1,877,1,0.1,-,0,0.0
839030,Sebastián Meza,ARQ,Huracán,https://www.transfermarkt.es/sebastian-meza/profil/spieler/839030,6058,0,0.0,5068,0,0.0,-,0,0.0
77127,Hernán Galíndez,ARQ,Huracán,https://www.transfermarkt.es/hernan-galindez/profil/spieler/77127,45053,1,0.0,9475,0,0.0,900,0,0.0
776303,Marco Pellegrino,DEF,Huracán,https://www.transfermarkt.es/marco-pellegrino/profil/spieler/776303,3663,2,0.05,3663,2,0.05,827,1,0.11
522204,Lucas Carrizo,DEF,Huracán,https://www.transfermarkt.es/lucas-carrizo/profil/spieler/522204,10107,7,0.06,5835,3,0.05,-,0,0.0
840768,Nicolás Goitea,DEF,Huracán,https://www.transfermarkt.es/nicolas-goitea/profil/spieler/840768,9063,8,0.08,6672,4,0.05,-,0,0.0
610248,Fabio Pereyra,DEF,Huracán,https://www.transfermarkt.es/fabio-pereyra/profil/spieler/610248,17751,4,0.02,10326,2,0.02,900,1,0.1
885621,Santiago Moya,DEF,Huracán,https://www.transfermarkt.es/santiago-moya/profil/spieler/885621,2542,0,0.0,2407,0,0.0,-,0,0.0
